id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
1,我们在这里：生活在地球上的注意事项 Here We Are: Notes for Living on Planet Earth,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2596742033.jpg,美国,2020,Philip Hunt,梅丽尔·斯特里普 / 克里斯·奥多德 / 雅各布·特伦布莱,8.0,,动/画/ /// /短/片,
2,温蒂妮 Undine,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2583562073.jpg,德国/法国,2020,克里斯蒂安·佩措尔德,葆拉·贝尔 / 弗兰茨·罗戈夫斯基 / 玛丽安·扎瑞,7.7,,剧/情/ /// /爱/情,
3,列夫·朗道：娜塔莎 DAU. Natasha,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2595207406.jpg,德国/乌克兰/英国/俄罗斯,2020,叶卡特琳娜·奥特尔 / 伊利亚·赫尔扎诺夫斯基,纳塔利娅·别列日纳娅 / Olga Shkabarnya / Alexandr Bozhik,6.7,,剧/情,
4,必是天堂 إن شئت كما في السماء,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575505515.jpg,法国/卡塔尔/德国/加拿大/土耳其/巴勒斯坦,2019,伊利亚·苏雷曼,伊利亚·苏雷曼 / 阿里·苏莱曼 / 夸西·宋桂,7.6,,喜/剧,
5,再见，妈妈 Thưa mẹ con đi,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2562967550.jpg,越南,2019,郑霆黎明,岭清 / 武田家辉 / 红桃,8.0,,剧/情/ /// /爱/情/ /// /同/性,
6,7号房的礼物(土耳其版) 7. Koğuştaki Mucize,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2596378106.jpg,土耳其,2019,梅米特·艾达·厄兹泰金,Aras Bulut Iynemli / Nisa Sofiya Aksongur / 德尼兹·贝萨尔,8.3,,剧/情,
7,命硬仔西罗 L'immortale,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574450649.jpg,意大利/德国,2019,马尔科·达莫雷,马尔科·达莫雷 / Darta Danevica / Gennaro Di Colandrea,7.3,,剧/情/ /// /动/作/ /// /犯/罪,
8,匹田先生，恭喜你太太怀孕了 ヒキタさん！ ご懐妊ですよ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2563026383.jpg,日本,2019,细川彻,松重丰 / 北川景子 / 山中崇,7.0,,剧/情/ /// /喜/剧/ /// /爱/情,
9,看不见的女人 A vida invisível de Eurídice Gusmão,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2558202387.jpg,巴西,2019,卡里姆·埃诺兹,朱莉娅·斯托克勒 / 卡罗尔·杜阿尔特 / 弗拉维亚·古兹曼,7.9,,剧/情,
10,被涂污的鸟 Nabarvené ptáče,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2573100741.jpg,捷克/斯洛伐克/乌克兰,2019,瓦茨拉夫·马尔豪尔,斯特兰·斯卡斯加德 / 哈威·凯特尔 / 巴里·佩珀,8.0,,剧/情/ /// /战/争,
11,从不，很少，有时，总是 Never Rarely Sometimes Always,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2588279882.jpg,美国,2020,伊丽莎·希特曼,茜德尼·弗拉尼根 / 塔莉娅·莱德 / 西奥多·佩尔兰,7.6,,剧/情,
12,野性的呼唤 The Call of the Wild,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2583544383.jpg,美国/加拿大,2020,克里斯·桑德斯,哈里森·福特 / 丹·史蒂文斯 / 凯伦·吉兰,7.1,,剧/情/ /// /冒/险,
13,矿民、马夫、尘肺病,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2557653230.jpg,中国大陆,2019,蒋能杰,赵品凤 / 蒋美林,8.5,,纪/录/片,
14,为美好的世界献上祝福！红传说 この素晴らしい世界に祝福を！紅伝説,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2551687590.jpg,日本,2019,金崎贵臣,福岛润 / 雨宫天 / 高桥李依,8.6,,喜/剧/ /// /动/画,
15,琼斯先生 Mr. Jones,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584656580.jpg,波兰/英国/乌克兰,2019,阿格涅丝卡·霍兰,詹姆斯·诺顿 / 凡妮莎·柯比 / 彼得·萨斯加德,7.3,,剧/情/ /// /传/记/ /// /惊/悚,
16,悲惨世界 Les misérables,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2592521688.jpg,法国,2019,拉吉·利,达米安·勃纳尔 / 亚历克西斯·曼蒂 / 贾布里勒·宗加,8.2,,剧/情,
17,关于无尽 Om det oändliga,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2592689101.jpg,瑞典/德国/挪威,2019,罗伊·安德森,Bengt Bergius / Anja Broms  / Marie Burman,7.4,,剧/情,
18,绅士们 The Gentlemen,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2592522995.jpg,英国/美国,2020,盖·里奇,马修·麦康纳 / 查理·汉纳姆 / 亨利·戈尔丁,8.3,,剧/情/ /// /喜/剧/ /// /犯/罪,
19,银行家 The Banker,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2588389147.jpg,美国,2020,乔治·诺非,塞缪尔·杰克逊 / 尼古拉斯·霍尔特 / 安东尼·麦凯,7.7,,剧/情,
20,从宫本到你 宮本から君へ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564266421.jpg,日本,2019,真利子哲也,池松壮亮 / 苍井优 / 井浦新,7.4,,剧/情/ /// /爱/情,
21,伊丽莎白不见了 Elizabeth is Missing,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2592128362.jpg,英国,2019,艾斯林·沃什,苏菲·兰朵 / 格兰达·杰克逊 / 马克·斯坦利,7.4,,剧/情,
22,普罗米亚 プロメア,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2546169134.jpg,日本,2019,今石洋之,松山研一 / 早乙女太一 / 堺雅人,8.4,,剧/情/ /// /动/作/ /// /科/幻/ /// /动/画,
23,美好年代 La belle époque,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2593566561.jpg,法国,2019,尼古拉斯·贝多斯,丹尼尔·奥特伊 / 吉约姆·卡内 / 多莉亚·蒂利耶,8.1,,剧/情/ /// /喜/剧/ /// /爱/情,
